Cust_id,average_shop_spend,recent_purchase,recent_purchase_item_number,discount accumulated ,months_since_last_transaction
577,83,166,2,0,4
578,9,9,1,0,6
579,4,32,8,198,11
580,51,51,1,0,6
582,13.55,895.05,66,1536.95,2
584,7.09,28.35,4,34.65,4
585,19.76,99.62,5,-9.62,3
586,15.28,457.38,34,724.62,1
588,42,84,2,0,5
589,8.95,17.9,2,0,7
590,77.36,154.72,2,-11.72,8
592,13.6,40.8,3,10.2,6
596,27.68,162.9,6,18.1,2
597,23.19,115.95,5,32.95,2
600,52,125,3,0,3
602,41.5,41.5,1,41.5,5
603,31.8,95.4,3,10.6,8
605,22.47,44.93,2,121.07,8
607,29.75,59.5,2,10.5,7
608,22.5,225,10,75,11
611,52,104,2,0,10
612,8.24,214.2,26,779.8,1
613,34.96,139.84,4,36.16,10
615,83,83,1,0,1
616,25.29,358.11,14,226.89,10
618,21,189,9,0,8
620,11,66,6,16.5,3
622,3,6,2,0,3
624,18.74,74.95,4,74.95,2
625,18.9,18.9,1,2.1,4
626,22,88,4,75,10
628,21,189,9,0,8
630,10.2,51,5,204,12
631,8.29,287.7,27,638.8,4
632,55,55,1,0,1
633,14.6,14.6,1,6.4,4
635,10.26,1073.5,113,3079.2,1
636,11.91,131,11,263.5,1
637,20.71,82.84,4,1.16,3
644,9.12,133.05,18,75.95,3
645,9.75,39,4,117,1
646,43.96,175.84,4,73.16,1
648,28,140,6,0,10
649,71.5,143,2,0,2
650,39,39,1,0,7
652,6.43,12.85,2,11.15,11
653,12.4,74.4,6,75.6,10
655,83,166,2,0,1
656,34.5,69,2,0,1
657,25.58,240.75,8,26.75,1
658,50,50,1,0,1
660,30,180,6,180,3
662,31.5,31.5,1,3.5,8
663,8.33,50,6,250,1
664,50,50,1,130,10
665,21,21,1,0,10
666,12.82,12.82,1,-0.87,11
667,5.75,57.5,10,0,12
669,30.38,121.5,4,148.5,1
670,13.26,358,27,337,5
672,5,5,1,0,9
673,2.25,9,4,27,5
674,41.5,83,2,83,9
675,54,54,1,6,1
676,22.22,808.8,33,424.2,7
677,2.93,23.4,8,356.6,4
678,13.9,125.1,9,269.9,5
680,13.75,27.5,2,0,12
682,20.12,100.61,5,65.39,7
683,70.55,70.55,1,12.45,6
684,29.6,29.6,1,7.4,6
688,51,51,1,0,8
690,15.21,308.25,20,190.75,5
691,20.55,2564.5,126,1702,1
694,18.9,94.5,5,10.5,11
695,54,162,3,18,7
696,18.5,204.3,13,270.7,5
697,18.9,518.4,28,57.6,2
700,18.75,75,4,225,2
701,18.9,37.8,2,4.2,7
704,11.37,68.21,6,57.79,10
705,50,100,2,0,1
706,15,60,4,180,1
707,33.3,66.6,2,7.4,10
709,51,51,1,0,4
713,20.6,975.06,35,476.39,2
714,13.1,2342.03,128,5361.97,1
715,43.65,87.3,2,9.7,2
718,21.75,484.92,21,564.94,4
721,32.78,290.7,12,15.3,11
725,25,25,1,0,1
726,27.23,108.9,4,133.1,1
727,60,60,1,0,2
728,11.6,58,5,232,3
729,44.93,89.87,2,76.13,8
732,3,3,1,0,12
736,7.14,28.55,4,2.45,11
737,15.45,473.35,34,1548.65,4
738,17.75,195.3,11,557.7,1
739,50,100,2,0,3
741,6.5,6.5,1,0,11
743,21,21,1,0,9
747,35,70,2,0,1
748,12.38,49.5,4,341,6
749,46,221,5,0,1
751,17.85,50.4,3,21.6,3
752,20.14,80.55,4,98.45,7
754,6.53,322.1,43,486.4,1
755,94.67,367,4,0,1
756,49.81,361.7,9,54.25,5
758,85,85,1,0,2
759,72,288,4,0,1
760,34.28,291.48,8,104.52,2
761,4.15,16.6,4,315.4,3
763,74.7,149.4,2,16.6,1
764,28.75,57.5,2,0,4
766,16.2,540.18,29,728.33,1
767,6.25,25,4,75,1
768,11.95,11.95,1,0,4
776,41.5,83,2,83,4
777,20.55,315.69,17,320.21,3
778,11.46,793.5,78,2669.5,3
779,16.2,178.25,11,645.75,1
780,28.75,57.5,2,0,8
781,16.34,349.17,23,493.83,1
783,66.4,66.4,1,16.6,2
787,9.15,72.9,10,13.1,2
788,52,229,5,0,1
792,42.25,190,5,0,6
793,52.75,158.25,3,35.75,4
794,25.5,51,2,0,1
795,4.2,84,20,336,5
797,23.01,161.1,7,17.9,1
798,22,44,2,0,5
799,2.5,10,4,10,7
800,33.15,33.15,1,5.85,12
803,5.25,21,4,63,6
805,6.63,228.9,36,909.1,1
806,65,130,2,0,10
807,33.3,33.3,1,3.7,5
809,5,5,1,0,1
810,9.3,213.84,23,437.11,1
811,11,66,6,330,11
812,14.32,42.95,3,44.55,4
814,5.4,56.7,12,195.3,3
815,11.9,71.4,5,33.6,6
816,37,37,1,0,11
819,54.63,54.63,1,2.74,11
820,18.5,109,6,109,7
821,34.6,408.5,14,67.5,11
822,74.7,149.4,2,16.6,5
824,8.67,156,18,414,1
829,83,83,1,0,1
830,3.4,34,10,136,1
831,38.48,76.95,2,4.05,11
832,48.59,97.18,2,4.87,11
834,21,21,1,0,3
835,18.11,199.2,11,713.8,2
836,21,42,2,0,12
838,19.95,19.95,1,1.05,11
839,5.53,5.53,1,0.98,12
840,25.25,50.5,2,0,4
841,27,81,3,0,9
842,23.42,421.6,18,74.4,2
844,60,180,3,0,1
847,28.6,143,5,249,8
848,6.95,6.95,1,-0.45,11
850,11.48,45.9,4,158.1,4
851,9.62,153.9,16,530.1,7
852,9.81,78.5,8,78.5,5
853,30,60,2,60,7
854,32.3,96.9,3,22.6,5
855,11.13,33.4,3,20.55,7
856,40.65,121.95,3,27.55,11
857,85,170,2,0,5
858,51,51,1,0,5
859,22.54,22.54,1,-1.54,6
860,41.23,133.45,3,23.55,8
861,19.08,229,12,229,3
863,39.3,117.9,3,13.1,4
864,18.41,883.58,54,1307.23,1
866,27,27,1,33,12
868,14.92,681.99,55,1258.6,1
869,10.8,54,5,246,10
871,60,60,1,0,7
872,5.85,5.85,1,0.65,11
873,18,18,1,0,12
875,3,50,18,40,4
876,4.05,8.1,2,9.9,12
877,44.75,179,4,0,1
878,8.95,8.95,1,0,11
879,17.85,53.55,3,9.45,2
882,16.8,609.6,24,948.65,1
883,28.34,548.2,21,252.8,1
